Ticker,Date,Time,Expiry Date,Open,High,Low,Close,Volume,Open Interest,Padding Flag
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:15:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:16:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:17:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:18:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:19:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:20:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:21:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:22:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:23:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:24:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:25:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:26:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:27:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:28:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:29:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:30:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:31:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:32:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:33:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:34:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:35:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:36:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:37:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:38:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:39:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:40:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:41:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:42:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:43:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:44:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:45:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:46:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:47:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:48:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:49:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:50:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:51:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:52:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:53:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:54:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:55:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:56:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:57:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:58:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,09:59:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:00:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:01:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:02:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:03:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:04:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:05:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:06:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:07:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:08:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:09:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:10:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,1
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:11:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:12:00,2025-12-30,1017.65,1017.65,1017.65,1017.65,0,0,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:13:00,2025-12-30,1017.65,1017.65,1006.9,1006.9,70,70,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:14:00,2025-12-30,1006.9,1012.25,1006.9,1012.25,0,70,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:15:00,2025-12-30,1012.25,1012.25,1012.25,1012.25,35,70,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:16:00,2025-12-30,1012.25,1012.25,1010.05,1010.05,210,175,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:17:00,2025-12-30,1010.05,1010.05,1010.05,1010.05,0,175,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:18:00,2025-12-30,1004.75,1004.75,1004.75,1004.75,35,175,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:19:00,2025-12-30,1004.75,1004.75,1004.75,1004.75,0,175,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:20:00,2025-12-30,1004.75,1004.75,1004.75,1004.75,0,175,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:21:00,2025-12-30,1004.75,1004.75,992.5,992.5,35,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:22:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:23:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:24:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:25:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:26:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:27:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:28:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:29:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:30:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:31:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:32:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:33:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:34:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:35:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:36:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:37:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:38:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:39:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:40:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:41:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:42:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:43:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:44:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:45:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:46:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:47:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:48:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:49:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:50:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:51:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:52:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:53:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:54:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:55:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:56:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:57:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:58:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,10:59:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:00:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:01:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:02:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:03:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:04:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:05:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:06:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:07:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:08:00,2025-12-30,992.5,992.5,992.5,992.5,0,420,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:09:00,2025-12-30,992.5,992.5,986.15,986.15,35,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:10:00,2025-12-30,986.15,986.15,986.15,986.15,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:11:00,2025-12-30,986.15,986.15,966.3,966.3,35,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:12:00,2025-12-30,966.3,966.3,960.75,960.75,35,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:13:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:14:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:15:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:16:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:17:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:18:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:19:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:20:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:21:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:22:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:23:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:24:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:25:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:26:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
BANKNIFTY30DEC2557700CE.NFO,2025-10-14,11:27:00,2025-12-30,960.75,960.75,960.75,960.75,0,455,0
